bmk_name,execution time,L1D reads,L1D writes,L1D total accesses,L1D miss rate,L1I reads,L1I miss rate,L2 reads,L2 writes,L2 total accesses,L2 miss rate,main memory accesses,sim_ticks,dcache.ReadReq_accesses::total,dcache.ReadReq_misses::total,dcache.WriteReq_accesses::total,dcache.overall_accesses::total,dcache.overall_miss_rate::total,dcache.demand_miss_latency::total,icache.ReadReq_accesses::total,icache.overall_miss_rate::total,icache.demand_miss_latency::total,l2cache.ReadExReq_accesses::total,l2cache.ReadCleanReq_accesses::total,l2cache.ReadSharedReq_accesses::total,l2cache.WritebackClean_accesses::total,l2cache.WritebackDirty_accesses::total,l2cache.overall_accesses::total,l2cache.overall_miss_rate::total,l2cache.demand_miss_latency::total,mem_ctrl.num_reads::total
gesummv_ref,5312049092,590963,456751,1044843,0.007257,3966360,0.000456,6607,5596,6607,0.143938,3036,5312049092,590963,2871,453880,1044843,0.007257,151572204,3966360,0.000456,79989887,2267,1643,2697,1245,4351,6607,0.143938,97094956,3036
gramschmidt_ref,43051208816,12960246,7840352,20762755,0.00332,31315209,0.00348,151642,141670,151642,0.065734,12041,43051208816,12960246,37843,7802509,20762755,0.00332,835095828,31315209,0.00348,1828510189,14635,101409,35598,114889,26781,151642,0.065734,894220264,12041
heat-3d_ref,178808266168,52668763,27383159,79963924,0.002915,132942254,0.000958,285531,284315,285531,0.004066,3170,178808266168,52668763,87998,27295161,79963924,0.002915,2587987724,132942254,0.000958,1396773914,73290,127230,85011,127087,157228,285531,0.004066,147275352,3170
jacobi-1d_ref,1031271136,243779,166522,410003,0.001671,726408,0.003928,3005,2169,3005,0.323794,1034,1031271136,243779,298,166224,410003,0.001671,49419272,726408,0.003928,95513193,106,2723,176,2156,13,3005,0.323794,88609780,1034
jacobi-2d_ref,115336848704,27661133,15663818,43228814,0.006378,87189267,0.001514,308082,304611,308082,0.011091,5448,115336848704,27661133,96137,15567681,43228814,0.006378,3469353608,87189267,0.001514,1453086140,88314,131450,88318,131312,173299,308082,0.011091,372958852,5448
ludcmp_ref,128386270656,44029137,23828889,67576744,0.004481,97486199,2.4e-05,288718,287718,288718,0.003467,4649,128386270656,44029137,281282,23547607,67576744,0.004481,3329842768,97486199,2.4e-05,86126950,6090,2023,280605,1647,286071,288718,0.003467,110640012,4649
lu_ref,143419652516,52953433,28093353,80765521,0.003751,107740196,0.000675,359019,357908,359019,0.003005,4670,143419652516,52953433,281265,27812088,80765521,0.003751,3332095676,107740196,0.000675,826281726,5865,72523,280631,72430,285478,359019,0.003005,121012052,4670
mvt_ref,5371691892,925956,646005,1567931,0.005148,4009977,0.000918,9238,8216,9238,0.106192,2891,5371691892,925956,4030,641975,1567931,0.005148,158059132,4009977,0.000918,101309925,1952,3438,3848,3027,5189,9238,0.106192,100938180,2891
nussinov_ref,30085025460,20706569,4750426,25399686,0.002437,21808987,0.003019,124818,123840,124818,0.006201,2801,30085025460,20706569,57309,4693117,25399686,0.002437,720306999,21808987,0.003019,738234573,2112,65725,56981,65513,58327,124818,0.006201,74677736,2801
seidel-2d_ref,278463184916,41806492,23942914,65674549,0.00121,211913618,0.000457,173031,171964,173031,0.005681,2781,278463184916,41806492,74857,23868057,65674549,0.00121,909231400,211913618,0.000457,1076474937,2039,96574,74418,96340,75624,173031,0.005681,102723656,2781
symm_ref,30967637988,8480933,5957579,14409463,0.002307,22381747,0.00283,93679,83048,93679,0.112843,12293,30967637988,8480933,29049,5928530,14409463,0.002307,423956540,22381747,0.00283,1466942028,1766,63158,28755,53314,29734,93679,0.112843,913053204,12293
syr2k_ref,45433761604,11198716,7735160,18885655,0.002803,34083556,0.001568,103258,102147,103258,0.010362,3131,45433761604,11198716,48221,7686939,18885655,0.002803,634356632,34083556,0.001568,626152755,2197,53295,47766,53188,48959,103258,0.010362,112224616,3131
syrk_ref,27354017824,8228014,5489809,13712968,0.000586,19977394,0.004963,99556,97617,99556,0.018844,3326,27354017824,8228014,4855,5484954,13712968,0.000586,154739984,19977394,0.004963,1191469401,1495,93420,4641,92243,5374,99556,0.018844,237921936,3326
